rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-14-00001,G067620E34655N,67.62020207,34.6549055,,,,,,,
RGI2000-v7.0-G-14-00002,G067622E34651N,67.62190516,34.651057,,,,,,,
RGI2000-v7.0-G-14-00003,G067628E34649N,67.62777549,34.6490555,,,,,,,
RGI2000-v7.0-G-14-00004,G067631E34650N,67.63271579,34.6466735,,,,,,,
RGI2000-v7.0-G-14-00005,G067639E34654N,67.63895977,34.6543155,,,,,,,
RGI2000-v7.0-G-14-00006,G067643E34643N,67.64345192,34.643838,,,,,,,
RGI2000-v7.0-G-14-00007,G067650E34646N,67.65035221,34.645842,,,,,,,
RGI2000-v7.0-G-14-00008,G067657E34644N,67.65635555,34.6442485,,,,,,,
RGI2000-v7.0-G-14-00009,G067663E34642N,67.66338001,34.642425,,,,,,,
RGI2000-v7.0-G-14-00010,G067670E34637N,67.66952675,34.637651,,,,,,,
RGI2000-v7.0-G-14-00011,G067678E34638N,67.67741192,34.6384825,,,,,,,
RGI2000-v7.0-G-14-00012,G067684E34644N,67.68446858,34.6441515,,,,,,,
RGI2000-v7.0-G-14-00013,G067689E34650N,67.68961345,34.650014,,,,,,,
RGI2000-v7.0-G-14-00014,G067696E34651N,67.69588649,34.651207,,,,,,,
RGI2000-v7.0-G-14-00015,G067704E34650N,67.70362353,34.6501975,,,,,,,
RGI2000-v7.0-G-14-00016,G067712E34654N,67.71199048,34.6541135,,,,,,,
RGI2000-v7.0-G-14-00017,G067727E34650N,67.72745241,34.6494725,,,,,,,
RGI2000-v7.0-G-14-00018,G067735E34649N,67.73451258,34.649462,,,,,,,
RGI2000-v7.0-G-14-00019,G067747E34647N,67.74748321,34.647264,,,,,,,
RGI2000-v7.0-G-14-00020,G067761E34648N,67.76078153,34.6481965,,,,,,,
RGI2000-v7.0-G-14-00021,G067767E34650N,67.76668877,34.650129,,,,,,,
RGI2000-v7.0-G-14-00022,G067774E34646N,67.7752244,34.6458045,,,,,,,
RGI2000-v7.0-G-14-00023,G067842E34626N,67.84238061,34.6263625,,,,,,,
RGI2000-v7.0-G-14-00024,G067870E34614N,67.87042539,34.61359,,,,,,,
RGI2000-v7.0-G-14-00025,G067880E34615N,67.8795999,34.6152455,,,,,,,
RGI2000-v7.0-G-14-00026,G067889E34613N,67.88912827,34.6129865,,,,,,,
RGI2000-v7.0-G-14-00027,G067920E34613N,67.919634,34.6127335,,,,,,,
RGI2000-v7.0-G-14-00028,G067924E34615N,67.92420034,34.614701,,,,,,,
RGI2000-v7.0-G-14-00029,G067938E34616N,67.93740629,34.6162595,,,,,,,
RGI2000-v7.0-G-14-00030,G067950E34621N,67.94807708,34.6173305,,,,,,,
RGI2000-v7.0-G-14-00031,G067945E34626N,67.94493711,34.6255485,,,,,,,
RGI2000-v7.0-G-14-00032,G067955E34607N,67.95511253,34.6068565,,,,,,,
RGI2000-v7.0-G-14-00033,G067962E34609N,67.9628721,34.6097805,,,,,,,
RGI2000-v7.0-G-14-00034,G067982E34593N,67.98207544,34.592837,,,,,,,
RGI2000-v7.0-G-14-00035,G068004E34576N,68.00372914,34.576007,,,,,,,
RGI2000-v7.0-G-14-00036,G068020E34575N,68.01893444,34.575502,,,,,,,
RGI2000-v7.0-G-14-00037,G067677E34651N,67.67717901,34.650517,,,,,,,
RGI2000-v7.0-G-14-00038,G067655E34655N,67.65540079,34.655028,,,,,,,
RGI2000-v7.0-G-14-00039,G067651E34662N,67.65128181,34.661721,,,,,,,
